review,sentiment
"At first I was convinced that this was a made-for-TV movie that wasn't worthy of primetime. But after a few minutes of dumb-struck awe, I realized that there was at least comic value in the over-the-top stunts and c-movie acting. This movie would have gotten a 1 if my wife and I hadn't laughed so hard as we watched it in wonder that the actors could keep a straight face. It was like a less-funny spy version of The Big Hit (I laughed so much I actually bought the Big Hit DVD) with even-worse acting. We were disappointed that Nick chose to marry Elena, and not Jim, after all of the hugging and high-fives. A few rum and cokes will definitely help it go down easier.",0
"I thought it was one of the best sequels I have seen in a while. Sometimes I felt as though I would just want someone to die, Stanley's killing off of the annoying characters was brilliant. It was such a well done movie that you were happy when so and so died. My only problem was in some scenes it looked like someone with a home camera was filming it and it was weird. Judd Nelson is cute, at least in my opinion and he was excellent in the role as Stanley Caldwell. Brilliant movie.",1
"The sequel to the ever popular Cinderella story reminded me somewhat of what they did with one of the Beauty & the Beast movies. It's basically three short stories rolled into 1.<br /><br />OK, the mice are adorable (I love Gus! He's sooo cute!), and Lucifer's awesome (as usual). I liked some of the newer characters as well, (Pom Pom was adorable and I did like Prudence.). Still, the storyline was somewhat limited, but still very cute. So, I vote 7/10.",1
"I own 2 home entertainment stores and I've seen a lot of bad movies in my time but this one was so bad it compelled me to register here and comment on it. How bad was it? Let's just say that Sofia Coppola deserved an Oscar for her performance in Godfather III when compared to Giada Colagrande's in this movie.<br /><br />It was robotic and uninspired. Her lover has just died one month prior to her arrival at the 'Rubber House' he had given her. Once there, she discovers he has cheated on her throughout her relationship but none of it seems to register with her. Within a day, she starts a relationship with Leslie, (Dafoe) the caretaker of the house. Even though she is married to Dafoe off screen, her scenes with him were cold and unemotional.<br /><br />If there was a plot, I missed it. Not even Willem Dafoe could save this movie from the amateur, cinematic train wreck that it is.",0
"** CONTAINS SPOILERS ** <br /><br />The truly exquisite Sean Young (who in some scenes, with her hair poofed up, looks something like Elizabeth Taylor) is striking in her opening moments in this film. Sitting in the back of a police car waiting to signal a bust, her face and body are tense and distracted. Unfortunately, once the bust is over Young's strained demeanor never changes. This is one fatally inhibited actress.<br /><br />One has only to compare Young to the performer playing her coworker and best friend, Arnetia Walker, to grasp what is missing in Young. Walker is open, emotional, and at ease at all times...in that there's no apparent barrier between what she may be feeling and her expression of it. She is an open book. Young, on the other hand, acts in the skittish, self-conscious way you might expect your neighbor to act were they suddenly thrown into starring in a film. Basically, she doesn't have a clue.<br /><br />With this major void looming at the center of the movie, we're left to ponder the implausiblities of the story. For instance, after Miss Young is kidnapped by the criminal she's trailing and locked in a closet, she breaks the door down when left alone. Granted, she's dressed only in a bra and panties, but in a similar situation, with a psycho captor due to return any moment, would you head for the door...or take the time to go through his dresser, take out some clothes and get dressed? I would guess that this and other scenes are trying to suggest some sort of mixed emotions Miss Young's character is experiencing, but Young can not convey this type of complexity.<br /><br />There are a few affecting moments in the film, such as the short police interviews with the criminal's past victims, but overall this is an aimless endeavor. It's too bad Miss Young was replaced while filming the pair of comic book style films that might have exploited her limitations with some humor (BATMAN and DICK TRACY), because her floundering while attempting to play actual people is oddly touching. Watching Miss Young try to act, at least in this \thriller\"", is a sad spectacle.""",0
"Saw it at UCSB's reel loud festival and was *shocked* that it won the golden reel award. I wasn't the only one, considering the audience had mixed reactions to the piece. I thought there were many other better flicks out there, but then I learned that the judges were heavily rooted within the area of film theory and other artsy crap. While the cinematography and editing are on par with many other shorts out there, the storytelling is nothing more than your average student piece. Seems as though \serious\"" student films need to include one of these categories: sex, intrapersonal struggle, and eventual suicide -- Nick and Kate cops out and includes all three. Please, be more original!<br /><br />Oh, and it might be my outsider's opinion, but the guy from montecito sounds a little fake. Does anyone else thing so?""",0
"I remember watching this as a child in the UK, mesmerized by the story and Laurence Olivier's narration. We would talk about nothing else at school the next day. I imagine the ratings for the first showing were huge. This is quite simply the best most comprehensive documentary series despite the fact they had to cut the story down to the bone they managed to capture so much. What is interesting is that the battles of Britain and North Africa were pivotal yet are widely unrecognized as such by Americans. The series captures the rivalry between Mountbatten and the American generals, the suffering of German troops on the Eastern front, the maltreatment of Japanese prisoners of war by American troops. The images of the holocaust made me, a non-Jewish European, feel forever guilty about the treatment of the Jewish people. I don't know why this is not number one in the IMDb rankings. Perhaps they are showing their bias against documentaries. Spoiler - we win.",1
"I give 3 stars only for the beautiful pictures of Africa. The rest was... well pretty boring. For about 50min we have the outline of the plot... In War of the worlds, the introductory part lasted, oh, about 10min? Then was real action! This is something like:\Let's take a walk in the savanna and gasp at the beautiful sunsets!\"". And maybe deliver a message, like \""Don't kill elephants!\"". Very ecological. I would have expected this out of a \""new\"" Steven Segal movie, not from this... The leading actress makes me think about artificial sun-tan, dyed hair and too much foundation! And I didn't see one scene where her hair is messed up, or she sweats, or her clothes are dusty. She just doesn't look like a 19 century woman! And in the bar, where they seek up our hero, Swayze makes a comment about the commander that he looks like Dracula. Hmmm, Bram Stoker wrote his book and published it in 1896, and it became famous in the next years. Livingstone and other explorers went to central Africa from 1840 to 1880. So unless the action takes place between 1896 and 1900.. Houston, we have a problem. :) Swayze makes a nice impression.. as a nutshell - hard on the outside, but soft and cuddly on the inside. Not that I would cuddle with a nut, but you get the point. He really manages to have that beaten puppy look on his face on several occasions. The movie stank. Way too long and increasingly boring. don't watch it! Don't buy it! It's a waste of your money!""",0
"If you're one of those who recognise with pleasure such arcane titles as 'Book of the Dead', 'Book of Eibon' or 'Necronomicon', then you should feel right at home with Malefique, a film which also features an occult tome, one with the power to change the destinies of all involved. Discovered by four French prisoners sharing a cell, the fearsome object has been placed in the wall there by Danvers, a serial killer incarcerated back in the 1920s; a man obsessed with rejuvenation and the black arts before he abruptly vanished. Finders of the book are Carrère (Gérald Laroche) a company embezzler shopped by his wife, Lassalle (Philippe Laudenbach) who aspires to be a woman but at the same time body-builds to execute an escape plan, the halfwit Pâquerette (Dimitri Rataud) who once ate his baby sister, and the 'librarian' Marcus (Clovis Cornillac), supposedly driven mad by reading, who murdered his wife. Reminding the viewer of Meat Loaf's equally bizarre, bosomy male in Fight Club (1999), Lassalle begins as the dominant member of the quartet, one who is especially protective of the infantile Pâquerette. With the coming of the book however, and the overarching need to decipher its dangerous contents, Marcus assumes greater and greater significance. At first assured of an early bail, meanwhile Carrère takes little more than academic interest in events. Suddenly he too needs an urgent escape option and, as the prisoners experiment, Danvers' book starts to reveal some of its terrifying powers...<br /><br />Staged for the most part within a prison cell, and between four or five characters, Malefique has a claustrophobic air entirely suited to its subject matter (as well as the limited budget of the filmmakers). Only at the start and then at the conclusion do we get to leave the confines of the cell, a necessary opening out which only serves to emphasise the doomed, closed-in nature of proceedings elsewhere. More than anything, this is a film about being trapped, either as a victim of your criminal past or of occult events now unfolding. \I'm going to escape,\"" says Carrère at the start of the film, wishing more than anything to be able to rejoin his wife and son. Whether or not he does it will be at a terrible price, and the great irony of the film is that the ultimate form of an 'escape' may not be one a man might imagine.<br /><br />With all its budget limitations it is greatly to the first-time feature director Eric Vallette's credit that his film succeeds as well as it does. As critics have noticed, it is a film with strong Freudian overtones - Lassalle's distinctive mammaries and adult breast feeding for instance; the picture of a vagina which comes to life and develops an eye; the grown man who dissolves back into a foetus; Danvers' original placenta fetish; the dark cell as a primitive womb from which 'delivery' is awaited, etc. With so many interesting aspects to the script Vallette hardly puts a foot wrong, and he succeeds in creating a genuinely unsettling atmosphere out of what, when one comes down to it, is just a matter of four guys, four bunks, one folding table and a book. There's a genuine, growing, Lovecraftian frisson as the men summon up the unnameable darkness from within its pages, while one or two moments - the aforementioned blinking vagina, or what ultimately happens to Pâquerette - are unsettlingly memorable. The pacing of many of the dark events in Malefique is deliberate, rejecting the rapid cutting of many Hollywood productions: a video culture approach that often subverts the horrified gaze in favour of quick-fix action and gore. Perhaps this is a particularly European manner, as one recalls a similar, measured approach to shocking hallucination taken in such films as Verhoeven's The Fourth Man (1983) - a film that incidentally also shares a particularly nasty image based around a prolapsed eye.<br /><br />Lensed well in 1.85:1, Malefique benefits from excellent performances and, if for this viewer at least, the conclusion was not as explainable as it might have been, the journey to the final shot was worth taking. Coming so soon after the release of the similarly well-received Haute Tension (aka: Switchblade Romance, 2003), this is another reason to be grateful that good horror films are once again emerging from the French industry, this after a time when it seemed the only worthwhile product came from Asia""",1
"This movie is amazing. The plot was just...wow.<br /><br />I was very surprised by Gackt's and Hyde's performance, after growing up in the American world of the actors who can't sing and singers who can't act.<br /><br />In this movie, a young Sho (Gackt) comes across a vampire, Kei (Hyde). Over time, they form an unlikely friendship. Kei is suffering because of how he is forced to live off others, the half-life of a vampire.<br /><br />It's a sad movie, but not sappy. The plot was very unique, and contrary to your typical vampire flick. The storyline was thick with twists and turns and very entrancing.<br /><br />The only fault I would say the movie had, despite it's lack of a happy--albeit peacefulending, would be it's multiple languages. I had the unsubdued version (I'm lucky that I understood it all save some of the Cantonese), so I would recommend getting something with subtitles.<br /><br />All in all, the movie was just awesome.",1
"In short, this movie is completely worthless.<br /><br />The idea is to make movie from the point of view of what someone from the early 1900s might think of the future. An interesting idea, but the lack of compelling story or characters prevents us from ever suspending our disbelief, so the idea just flops.<br /><br />Apparently the whole movie was done with actors in front of green screens and we are supposed to be impressed. But as a graphics person, the over softening was an obvious crutch for hiding the difficult sharp edge problem with green screening. The color is majorly washed out to no relevant effect except reduce the visual quality. And I don't understand why anyone would consider anything rendered in this movie to be in any way ground breaking. If anything, the ridiculous retrograde graphics have lowered the bar for really bad graphics -- they don't measure up even to the ancient Jurassic Park graphics. The models for the robots were so simple, plain and very uncompelling. There were a bunch of weirdo prehistoric-like animals on that island, but they are not explained in any way.<br /><br />The story is horrible beyond belief. In fact I can't believe I didn't just walk out of this movie. The relationship between Polly and Joe is unmotivated, and throughout the movie is based on distrust and deception. Why is the Morris Paley character even there? We are not in any way convinced that Joe is heroic -- I mean he flies a plane, and saved one person (Polly) for personal reasons. Yeah there's a great hero for you. Dex has very little screen time, so why are we supposed to care about Joe wanting to save him? Who were the Nepalease that locked Joe and Polly in the mine vault, and why would they do it (remembering that the entire Totenkopf operation was robotic)?<br /><br />Plot holes: (1) Why did Bai Ling's character (a major fall from her excellent character in \The Crow\"") halt the robots who had captured Joe? They were looking for the vials, and had not found them. (2) Why in the hell would Dex be captured but not killed (he doesn't have or know about the vials, and the bad guys didn't know that Polly had the vials and was connected to Joe and therefore to Dex)? (3) Polly indicates that \""they\"" don't know anything about Totenkopf, yet she has some secret source about him that contains what appears to be a fairly complete FBI-style file on him. (4) The blank spot on the map as described by the Nepalese -- if they know all about this mysterious area, then why the hell is their map blank in that spot? (5) At one point, Polly and Joe have to give up their clothes (they are burned) -- Joe is given new clothes that were identical to his old clothes, yet Polly is forced to wear some very odd looking bulky dress, then in the same line of continuity suddenly Polly has her original clothes back.<br /><br />*sigh*. How far off am I supposed to switch my brain to watch this crap?<br /><br />We are supposed to be exhilarated by the over produced music, even when nothing interesting or remotely exhilarating is happening on screen.<br /><br />And the acting? We're supposed to be impressed with a bunch of bad British accents? Which character isn't annoying? I think Ling Bai's dialogue was probably the best in the whole movie (she doesn't have a single line). The dialogue wasn't camp, and doesn't even rise to the level of cheese. Its just bad and annoying. These people aren't hero's or compelling; they are the kind of people you would try to ignore or disassociate with if you ever had the misfortune of meeting them in real life.<br /><br />I can't believe that this movie gets an above average rating here on IMDb. IMHO it should be competing with \""Batman Forever\"" in the bottom 100 of all time.""",0
"Such great actors such a disappointment. Marlon Brando plays and awful character, the movie is not funny at all, a subconscious message can be seen \IT IS A DAMN CRAP!!!\"", \""IT SUUCKS SO BADLY!!\"", \""THROW YOUR TV THROUGH WINDOW\"", and so on. It is simply disgusting and irksome. In addition to foolish plot, sense of humor, there is something else. The way the rooms are decorated, the colors. It makes me sick, everything is so colourful that it might cause epilepsy. Usually I do not care about the decoration in movie but this from \""Free Money\"" made me angry. Avoid at all costs! \""Free Money\"" - probably for Charlie Sheen, Sutherland and Brando, but a viewer gets nothing! One watches it at cost of sanity.""",0
"Awful, awful, awful.<br /><br />A condescending remark at the start and a few nasty autopsy photos does not a good movie make. Once again I'm amazed at the determination and skill that some people have in achieving a movie production and yet they don't have the pride to realise that what they have made is an utter pile of crap.<br /><br />I sat and tried to think of a redeeming feature so that I could at least balance my criticism but the only one I could think of was that the opening track by Pink was pretty good....I wonder if she has seen this?<br /><br />Watch this at your peril, the boredom may kill you.",0
"Wow! So much fun! Probably a bit much for normal American kids, and really it's a stretch to call this a kid's film, this movie reminded me a quite a bit of Time Bandits - very Terry Gilliam all the way through. While the overall narrative is pretty much straight forward, Miike still throws in A LOT of surreal and Bunuel-esquire moments. The whole first act violently juxtaposes from scene to scene the normal family life of the main kid/hero, with the spirit world and the evil than is ensuing therein. And while the ending does have a bit of an ambiguous aspect that are common of Miike's work, the layers of meaning and metaphor, particularly the anti-war / anti-revenge message of human folly, is pretty damn poignant. As manic and imaginatively fun as other great Miike films, only instead of over the top torture and gore, he gives us an endless amount of monsters and yokai from Japanese folk-lore creatively conceived via CG and puppetry wrapped into an imaginative multi-faceted adventure. F'n rad, and one of Miike's best!",1
"The original Thunderbirds earned a place in TV history. It was, and still is, much beloved - indeed, the entire first 10 minutes of the Wallace and Gromit movie (the Wererabbit) is a direct lift of Thunderbirds, down to a direct replay of the original Thunderbird 2 launching sequence (if you don't believe me, get the movie, and then get a copy of the original episode where Thunderbird 2 is launched).<br /><br />This movie was a crass attempt at making a kids' movie - when the original was loved and enjoyed by kids and adults alike! In the original, the Thunderbirds spent all of their time rescuing people who were often trapped when Mother Nature or Technology went horrible wrong (yes, there was also the occasional criminal act). The Thunderbirds put their own lives and resources at risk for no reward - the very essence of heroism and selflessness. There was little physical violence. The Thunderbirds challenged the imagination to a degree - how many of us would dream of someday building a Thunderbird 2? And don't underestimate the power of entertainment to do this - many Japanese attribute their fascination with humanoid robots to the old Astroboy cartoon.<br /><br />But this movie was a poor re-image of the original. This movie came across as a meld between Thunderbirds and Loony Tunes - I mean, we have Anthony Edwards as Brain imitating Porky Pig's stuttering????? Much of the action consists of Kung Fu/Power Rangers type fighting. Indeed, there were funny sound effects when someone got nailed on the head with a frying pan. The tech that fired our imagination was absent - instead we have these kids running around, using a plot device that was NEVER in the original series (having the entire team take off at once, leaving the base occupied by the kids and Brain). Then there was a dose of \Use the Force Luke\"" mysticism thrown in when TinTin would levitate something or another, coupled with the The Hood using aerodynamics that looked like they were lifted from \""Crouching Tiger, Hidden Dragon\"". About the only thing missing was for The Hood to go \""TinTin, I am your Uncle\"" with a breath mask voice. The heart that made Thunderbirds unique was GONE.<br /><br />The only bright point was Ron Cook's portrayal of Parker - he caught it perfectly. But the actress playing Lady Penelope came across as a child - HUH???? <br /><br />And this is why we hate this movie. When someone puts out something that was popular to a fan base, and expects the fans to shell out money to watch, and then delivers something than wasn't even close to what the fans expect - well, I am sorry, that is just plain WRONG! OK, so if they were making a kids' movie - fine - next time distribute it straight to video, where many of these belong. But don't package something up in a familiar wrapper and change the innards.""",0
Rated NR(would be Rated R for Pervasive Strong Language and Crude Sexual Humor). Quebec Rating:16+(should be 13+) Canadian Home Video Rating:18A<br /><br />Eddie Murphy Delirious is Eddie's first stand up comedy routine.This came out in 1983.Back then he starred in the movie 48 hrs and Trading Places and he was on Saturday Night Live.Eddie made two stand up comedy films.Delirious and Raw.I preferred Raw because I just found the subject matter to be more humorous.Delirious however is also very funny with Eddie talking about his childhood and making fun of celebrities such as Mr.T and singers such as Michael Jackson.Any fan of stand-up comedy films should see Eddie Murphy's Delirious.,1
"Honestly, my expectations for Little Bush were low. I was expecting a little cartoon series with lots of fun (but rehashed and overdone) Bush jokes. Apparently I should have lowered my expectations even more.<br /><br />The writing was absolutely pathetic. Aside from the Cheney-Chicken-Eating joke, and some giggly-little swipes, it was really boring and unfunny.<br /><br />The animation was about as sophisticated as a thirteen-year old's Flash Project. It's disgraceful that they used Macromedia's product for this, because it's capable of so much more.<br /><br />I don't like Bush that much, and I enjoy a Bush-joke as much as the next guy, but this was just a half-hour swipe at the President with several painfully un-funny moments. Trey Parker and Matt Stone did so much more with That's My Bush.<br /><br />Do yourself a favor, skip \Lil' Bush\"" and go buy a copy of the short-lived comedy \""That's My Bush\"". You'll thank me.""",0
"A Bug's Life is a very good animated feature. This movie is for younger children, but it is also a great movie for people my age. The story is about an ant named Flik. He brought havoc onto his colony when he destroyed the food that were for the superior grasshoppers. He gets banished and he must find bigger bugs to fix the mess. This movie is a classic because it is a good movie and it is a Pixar movie. The animation is brilliant especially for the late 90's. The story is good, but a little more detail would be suffice. The voice acting is good as with most animation movies. The music is nice to listen to. Nothing special, but it earned an nomination for one of the music categories. Overall, this movie struck me as awestruck. This is a good movie for all families. I rate this movie 10/10.",1
"I am surprised that everyone (even the critics) seems to think this was a good movie. It was the most clichéd thriller ever made that I have seen. We have the 'bad guy' who wants to force the 'good guy' (or girls in this case) to do something or face the consequence. The 'good girl' in this movie must use her smarts and skills to defeat the 'bad guy' and save the day and her loved ones. Using charisma, bravery, and even luck to save the day. <br /><br />Where to begin? Well, a young woman by the name of Lisa Reisert meets a young man by the name of Jackson Rippner (nice name) at an airport. One coincidence leads to another and soon it seems as if fate is bringing these two together. Sharing drinks, sitting next to each other, seemingly getting along in every way... Is there more to this strangeness? Could these two be meant for each other? Does 'fate' have a reason for their strange and random encounter? <br /><br />Well, as it turns out, unfortunately yes. Jackson needs to Lisa to help him assassinate the Director of Homeland Security by moving him from one room to another so that his men can launch an attack on him. Oh, if she doesn't do this then her father is dead. Though we never learn the exact reasons why and who is really behind this madness, Jackson more then explains how this is going to happen and why its in Lisa's best interest to help him.<br /><br />Of course, Lisa defeats his evil plans with her smarts and in the process stabs him in the neck, makes him trip over chairs, and hitting him with a field hockey stick. Oh, and before that, she leads him on wild chase through Miami airport where she gets passed post 9 11 security and steals a car that she later uses to run over the man who was ordered to kill her father. <br /><br />Yeah, right.<br /><br />First of all, I find it strange that a man like Jackson who can get his hands on high tech weaponry needs the help of a hotel manager. Couldn't he just sneak a bomb into the building? Wouldn't that make it safer for him and his team by leaving out any third parties? And why do characters like Jackson also explain everything they are going to do to someone they are threatening? Doesn't that make it easier to stop them by the same people? <br /><br />The actors did their best considering the movie they were given. Racheal McAdams and Cillian Murphy are still actors to look out for. Also, I believe that Jayma Mays (who played the 'loveable' Cynthia) will be someone we will see more of. It's just too bad they all were stuck with this.<br /><br />2 out of 10",0
"This was filmed back-to-back with the 1992 re-make of Conan Doyle's famous novel 'The Lost World'. And it shows.<br /><br />The film starts promisingly enough, with a ruthless organization intending to exploit the lost world and Challenger et al returning to defend the prehistoric plateau, but then things go downhill. Everybody is stranded on the plateau and we're left with a feeble, boring, over-length rehash of the first film.<br /><br />The dinosaurs (who are hardly ever seen) are just laughable. Are we expected to take that cuddly toy that's supposed to be an ankylosaur seriously? And the tyrannosaur seems rooted to the spot.<br /><br />Do yourself a favor and get hold of the 1925 silent version of the Lost World. Unbelievably in this age of CGI and other advanced effects, the twenties version is the best and will remain so until somebody finally decides to do a decent re-make.",0
"I love horror movies. I can even appreciate most cheese (face it, 9 out of 10 horror films these days ARE cheese), but this was just ridiculous. Terrible acting, terrible writing, completely hollow and unbelievable characters (no Meisner actors here!) and a total lack of sufficient body count. I wish I could SALVAGE the 79 minutes of my life I just wasted. At least the Crook brothers are aptly named. The only good thing about the whole film was watching the Alicia Silverstone wanna-be get punched in the face. How this EVER made it to Sundance is completely baffling to me. Most of the plot was absolutely unrealistic, even by slasher film standards. I mean, COME ON! Who would rush out to get a cheap earring 10 seconds after a creepy stalker guy just left their doorstep? Lame.",0
"The scenes are fast-paced. the characters are great. I love Anne-Marie Johnson's acting. I really like the ending. <br /><br />However, I was disappointed that this movie didn't delve deeper into Achilles's and Athena's relationship. It only blossomed when they kissed each other.",1
